comment,GPT5,DeepSeek,AI_Agent,consensus
"Тот чувак, что ближе к стенке стоит, отважный. Голыми руками капроновый швартовый тянет.:)",no,no,no,no
"но тут двое, а там трое. Где ебоболик?",yes,no,yes,disagreement
"Я уже отдал тебе, его нельзя вернуть или передать кому то другому. Просто что то отрывается от души и уходит кому то, это может быть спонтанно или даже глупо. Но факт остаётся фактом...",yes,no,no,disagreement
"Как говорится на стороне одного законы, на стороне другого судебная практика.",yes,no,no,disagreement
"И кстати подобайте человеку разумному, не решайте за других, а то я из вашей писанины тоже могу выводы разные делать",no,no,no,no
"Играет хорошо, но как человек - говно. Рассматриваю его исключительно как живой учебник, а вот с тем же MJTV и за жизнь бы попиздел, и чайку бухла бы ебнул, хотя игрец он и послабее.",yes,yes,yes,yes
"Никогда не было комплексов по поводу размера груди .Больше всего нравились шутки про капусту , хотя я в детстве очень любила капусту , даже пальца чуть не лишилась из-за любви ( мама резала капусту и я прям под нож руку сунула ).",yes,no,no,disagreement
"Во мгле ночной, при свете дня.....",no,no,no,no
"В том году делали проводку дома частично. За деньги. Я была на 9 месяце. Электрик (не жэковский) сначала отправил меня сообщать всему подъезду, что сейчас будет вырублен свет. Нет, когда накануне всё обговаривали, ни про какое объявление для соседей он не говорил. Хорошо, середина буднего дня... Ну ок, благо всего 4 этажа, прошлась. Вырубил. И начал собирать щиток! То есть: щиток висит на стене, вообще пустой, у всего подъезда нет света, этот хрен стоит на табурете в темной прихожей, я рядом с фонариком, и он собирает, зараза, автоматы! В процессе ещё не хватило шины и я вызывала такси до ближайшего хозрынка (а весь подъезд без света). Когда он ушёл, я сначала обнаружила, что в подъезде под щитком и до нашей двери дорожка мусора, всё это выметала (напоминаю - на 9 месяце), а печка в кухне херачит током так, что палец еще минуту не чувствовала. Ах да, сообщить, что будет делать какую-то дополнительную дыру перфоратором в стене, этот мудак тоже не соизволил, и все куртки и обувь в прихожей получили дозу цемента.",yes,yes,yes,yes
"Малышом сына своего зови. Поучи логику. Негативное доказательство это логическая ошибка, принимающая следующую форму: А верно, потому что нет доказательств, что А не верно. Если единственным подтверждением существования чего-либо является отсутствие опровержений этого существования, то точкой зрения по умолчанию является скептицизм, а не легковерие. Такой вариант негативного доказательства распространён среди верующих, пытающихся доказать существование Бога, и в псевдонауке, являя собой попытку сместить бремя доказательства со сторонника идеи на скептика. Однако бремя доказательства лежит на человеке, провозглашающем существование чего-либо, а не на сомневающемся в этом.",yes,no,no,disagreement
"23:20 пришёл со смены Сосницкий, плез.",no,no,no,no
"Бля, вот не будь у меня этого куска говна, может и поверил бы.",yes,yes,yes,yes
"1. Я не знаю, что такое кабашоны из симбирцита , пили пост! 2. Ворона не нужна! (честно говоря я смутно представляю, откуда там эта заметка в профиле, кажется после моей днюхи появилась... но это не точно)",no,no,no,no
"Не надо лезть в дела Бога, если в своих разобраться не можем",no,no,no,no
"Задумка не моя. А на счет пластика, мы пока другой работой заняты",no,no,no,no
"Збс. Теперь надо доехать до места якобы высадки Аполлонов и выложить пруфы. Наса просило китайцев и евреев не лезть в тот район, но китайцам на эти требования должно быть похую.",yes,no,yes,disagreement
"Да не, там просто занято тобой уже",no,no,no,no
"Я так до сих пор делаю иногда, мой друг ставил в рулетке и я пошутил - может уже хватит, семью чем кормить будешь. О - остряк",no,no,no,no
"Тарас, открою тебе секрет, слёзно умолять союзника впрячься в войну за твои территориальные претензии нужно ПОСЛЕ заключения военного союза, ни в коем случае не до. Зачем Евросоюзу принимать к себе Украину, если она мало того что будут сосать субсидии похлеще всех Греций и Ирландий, так еще будет тянуть Европу в еще более невыгодное и убыточное противостояние с Россией? А еще правила Нато прямо запрещают принимать в альянс страны с неурегулированными территориальными претензиями, это сделано для того чтобы страны-изгои не пытались втянуть Нато в свои дрязги и загребать жар натовскими руками. Не веришь - спроси Латвию, она после развала совка претендовала на пограничный район Псковской области, но в нулевые спешно отказалась от всех претензий, подписала с Рашкой договор о границе, после чего стало возможным вступление Латвии в Нато.",yes,yes,no,disagreement
"Очень даже разделимы. Достаточно знать мотивы гомосексуального поведения у животных (которых Вы, как мне кажется, не знаете), и всё становится на места. А, как Вы выразились, перманентное поведение (т.е. однозначное предпочтение партнёров своего пола и игнорирование партнёров противоположного пола) наблюдалось только у баранов. Пути эволюции, конечно, неисповедимы, но я сомневаюсь, что у геев были бараны среди предков.",no,no,no,no
"Я, конечно, не спец, но мне кажется что на фото камушков хватит на новую машину...",no,no,no,no
"Не нужно теперь будет ждать когда бабка откинется, чтобы не мешаться под ногами в квартире.",no,no,no,no
"Гм, а раньше тупо цепь наматывали.",yes,yes,yes,yes
"У меня в жизни таких сильных рук не было) кстати, оч советую фитбол - можно на нем сидеть с мелким на руках и качаться, эффект почти как от ходьбы. Сидеть на стуле, понятное дело, не разрешает) вот заказала гель, вечером муж привезет. Попробуем.",yes,no,no,disagreement
"А звучание глэма как-то принципиально отличается от харда или хэви? Black Lable Society олдовая только участниками и относится таки к хеви. И потом, хэви произошел от харда, так что разница минимальна. З.Ы. Про пауэр я ничего не писал.",no,no,no,no
"кто-то запускает ракеты этим он вертит на хую роскосмос слышите Ебать вас промывают, пиздец просто.",yes,yes,yes,yes
"Этим и занимаюсь, я сейчас жирный и мускулистый.",no,no,no,no
"Одному бык пробил подбородок снизу, рог аж через рот вылез. Остальное ниочем.",no,no,no,no
"Ну во первых, там колодец. Во вторых, скважинные тоже дай бог качают. Там больше 1000 наименований, и у всех больше 5 кубов в час.",no,no,no,no
"Всё так и есть. У меня кредитка visa. Обслуживание - 0. Интернет-банкинг - 0. Беспроцентный период - 54 дня. Дебетовая - социалка МИР. Инет-банкинг - 30 р мес. Процент на остаток по вкладу - 3,5. Перекидываю с социалки на кредитку бесплатно 2 раза в месяц (чтоб не забывать). Пользуюсь кредитными деньгами для онлайн-покупок и безналичных платежей в магазинах-кафе-заправках и пр. Наличку снимаю с социалки бесплатно по необходимости. Что и кому я переплачиваю? О всякой хрени типа бонусов спасибо , партнёрской программе и пр. не говорю, ибо практически ими не пользуюсь.",yes,yes,no,disagreement
"Для начала оштрафуют напоказ, а потом х...й забьют.",no,no,no,no
"Клятые коммунисты целых сто лет пытались спасти человечество из рабства капитализма, вообще охуели сволочи.",yes,no,yes,disagreement
"Таки как я это представил, у меня аж кипа с головы слетела",no,no,no,no
"На одном джипе такие отметины, будто его старались собачьим говном подбить)",yes,yes,yes,yes
"При этом 440,000 узбекских тугриков это 52 доллара - а это, на минутку, уже средняя месячная зарплата в некоторых регионах Узбекистана, при минимальной в 149,775 тугриков (18 ).",no,no,no,no
"Я когда мехом и кожей стал заниматься, то сперва в эту отрасль вник и только потом бросил основную работу. А так да, первое время крайне тяжко.",no,no,no,no
"он был СОЛДАТОМ? (отсылка к FF7, если что)",no,no,no,no
"С хуя, я каждый день ложусь в 7 вставаю в 15.",yes,yes,yes,yes
"Я в школе, в 87ом году, зарядил что- мол, эту атрибутику фашизма- жгли на Красной Площади. За что получил двойку в четверти. Хотя сам видел это видео по ТВ. ОРТ тогда еще не было.",yes,no,no,disagreement
"где на преображенке, завтра поеду попробую))",no,no,no,no
"Учебник , как учебник. Учат на русском языке. И очернение Совка и РИ , никак не влияет на отношения детей. Нормальные люди разделяют государство и людей.",yes,no,no,disagreement
"Белок вроде, обознался",no,no,no,no
"Хакку надо смотреть в исполнени all blacks, вот там это действительно смотрится",no,no,no,no
"Чаще всего агрессия и агрессивность проявляется на развлекательных молодежных ресурсах и форумах с политической тематикой, выяснили эксперты. Ч а ще всего кибербуллингом занимаются молодые люди и девушки в возрасте до 19 лет Аналитический центр Brand Analytics провел исследование кибербуллинга в российских социа л ьных медиа, чтобы определить, какие есть особенности у хейтеров в русскоязычном интернете. Итоги исследования есть в распоряжении РБК. Brand Analytics использовала два типа материалов из открытых русскоязычных интернет-источников: во-первых, сообщения из соцмедиа за октябрь 2018 года, их общ е е число превысило 6,8 млн; во-вторых, были проанализировано частотное распределение слов за декабрь того же года. В компании отмечают, что рассматривали кибербуллинг как одно из проявлений агрессии (наряду с расизмом, харрасментом, сексизмом и пр.), то есть направленного воздействия на объект с целью нанести ему ущерб. В интернете таким воздействием может быть снижение с помощью те к ста статуса субъекта или объекта сообщения. Также сообщения анализировались на содержание агрессивности, то есть языковой реакции человека на негативное воздействие внешнего окружения или собственную внутреннюю неудовлетворенно с ть. Из проанализированных почти 7 млн сообщений агрессивность несли около 5 . Эксперты пришли к выводу, что чаще всего агрессия и агрессивность встречаются на развлекательных доменах юношеской возрастной категории (в качестве примеров приводятся 2ch.hk, yaplakal.com, pikabu.ru), киберспортивных ресурсах (prodota.ru, dota2.ru и пр.), а также на форумах, где обсуждаются п олитические темы (echo.msk.ru, politforums.net и др.). При этом на последних уровень агрессии был заметно выше уровня агрессивности. Иначе говоря, обсуждая политику люди достаточно часто переходят на личности , поясняют в Brand Analytics. Далее в списке с небольшим отставанием идут женские сайты и форум ы автолюбителей. Чаще всего (более 86 сообщений) пользователи, чьи сообщения содержали агрессию, не обращали их против личности, а реагировали таким образом на события. Сообщения с агрессией, направленные на конкретное лицо или группу людей, 13,9 . Реже всего пользователи соцсетей проявляли агрессию в отношении неодушевленного объекта (около 2,1 ). Как и ожидали а н алитики, относительная агрессивность мужской части пользователей оказалась выше, чем женской, а пики агрессивного поведения и у мужской, и у женской части пользователей были зафиксированы в возрастных группах 14 19 лет и 25 35 лет. Максимальный пик 14 лет, эксперты связали это с тем, что большинство соцсетей допускает регистрацию пользователей только при достижении этого возраста. У пользователей старше 35 лет уровень агрессивности постепенно снижается, однако у женщин вновь поднимаетс я в возрасте 55 65 лет. Эксперты также установили, что чаще всего пользователи проявляли агрессивность с помощью наречий и междометий (по интенсивности употребления около 70 от всех частей речи), реже с помощью глаголов и прилагательных. Подробнее на РБК:",yes,yes,no,disagreement
"До тех пор, пока не напишет коментарий, и тогда станет 501!",no,no,no,no
"ааа... да, похоже ошибочка ) особенно если фото развернуть. кстати, так и поза уже не кажется такой уж невероятной )",no,no,no,no
"Им про Фому, они про Ерёму. Суть не в том, говно ли или нет ролик. Суть в том, что это объективно хайповое видео, как бы тут илитка не визжала. Даже в ОП-посте пруф с газеты британской дал, а им хоть бы хны. Ведь надо защищать свои мудацкие хохлоСМИ, а то мивины не выдадут.",yes,yes,yes,yes
"Почему? Объективно - конец 60-х и 70-е это расцвет музыки - Биттлы и Роллинг стоунз,Пинк Флойд,Квин,первая волна британского хэви-метала,панк-рок и зарождение новой волны. Это первое что приходит на ум,в 80-х начинается эра стагнации и коммерциализации,когда исполнители старались выпустить по одному альбому в год,основная масса их и альбомы были однотипные,без всякого вдохновения. В 90-х вообще произошел упадок,по крайней мере в роке,хотя популярны были альтернатива,гранж и рейв. Определенно,70-е легендарнее 80-х,а уж про сегодняшний день вообще молчу",yes,no,no,disagreement
"готовься к санкциям Не проецируй, пидораха. Разрыва контракта не будет, русня, платит - значит заебись.",yes,yes,yes,yes
"Когда Гои празднуют пурим, где то улыбается богоизбранный.",no,no,no,no
"баня, попытка номер 2 )))",no,no,no,no
"Все просто, воровать надо вагонами. Подделал проездной, нна тебе срок, поддел документы на несколько лямов, какое мошенничество, вы что.",yes,yes,no,disagreement
"А в ес мочу сразу после такой хуйни пидорнули, и правильно сделали. По подсети банить неправильно.",yes,yes,yes,yes
"Так, чисто поржать, ибо пьян.. 1. Ничего личного .. то есть - выложить скрин моего аккаунта с пометкой латентный гомосексуалист - это - ничего личного? 2. Просто пруфы предоставляйте .. не буду, потому что лень. На правоту не претендую. Кому не нравится, может привести антипруф, или поставить минус и идти дальше. 3. Извинюсь. Даже не вопрос. Если был неправ .. (тут я немного грамматические ошибки поправил, но не суть.. сам пренебрегаю заглавными буквами, ибо пишу с телефона ..) а. Ценю попытку извиниться, не каждый на это способен.. но: б. Если был неправ .. то есть пикабушник, зная меня только по моим постам, сделал вполне конкретный вывод, что я латентный гомосексуалист , о чём не преминул известить всё сообщество.. и понял, что не прав, только после того, как получил но носу (согласно правилам пикабу), соизволил извиниться?.. Тут я устал.. P.S. Вижу у моего оппонента высокий рейтинг и кучу постов.. попозже ознакомлюсь с ними и дам некоторый анализ этого персонажа.. (или не дам, ибо это по настроению и вдохновению.., ничего личного..)))",yes,no,no,disagreement
"А, вот, нагуглилось - видосик сверху Ну да, выходит, что загорелось и подъезды разъебало, но здание целиком не разрушилось",yes,no,no,disagreement
"Ты отвечаешь педрюхе, ты хейпостишь других анонов, ты получаешь тот тред который заслуживаешь.",yes,no,yes,disagreement
"Х.з сколько тебе, про какие времена пишешь... могу только сказать, когда нам было по 15-17 лет у нас походу были какие то другие понятия , их можно было отнести к арестанской культуре и эти правила по жизне помогали как раз решать спорные ситуации и не допускать беспридела... То же, что происходит сейчас под лозунгом АУЕ - это как раз и есть зашквар, и в наше время таким АУЕшникам и жопы бутылками порвалиб и головы против резьбы поскручивали. Что тогда, что сейчас идёт всё с зоны, и глядя на этих долбоёбов страшно что сейчас ТАМ. Видно всё от того, что воры все чёрные понапокупавшие себе корон, на деле ни хуя из себя не представляющие ублюдки. У нас было движение на спорт, единство... ща молодёжь оскатинивают и стравливают, плодят беспридел и ростят говнорей. Им не западло использовать детей, извратили все понятия . Да и власти спасибо, без их участия такого не случилось бы.",yes,yes,no,disagreement
"В чем его фишка, первым начал публично психовать?",no,no,no,no
"50к всегда деньги, можно к примеру карточку купить 2080ti ) А вообще есть люди которые считают каждую копейку и не важно сколько они получают, могут быть миллионерами. А есть такие как я, которые не считают и не трясутся за деньги. За них трясется жена и считает их...",no,no,no,no
"Ну если успел нотариальный скрин сайта заверить - тогда да, может даже прокатить... Но там 99 сноска есть принятая в духе предоставленный на сайте товар не отражает точной картины и модели",no,no,no,no
"Я очень верная, я просто флиртую с толпой других мужиков, получаю непристойные предложения и показываю им свое бельё. А муж-то в курсе, какая у него жена верная ? Одобряет?",yes,no,no,disagreement
"Ну тут, имхо, от магазина конкретного зависит все.",no,no,no,no
"А развитие Китая без заметных кризисов - это и есть признак развивающегося социализма - плановость. А еще это признак развитого гос. капитализма. Где правящая бюрократия просто вовремя купирует все кризисы вливанием ресурсов.В какой-то момент в Китае начал проявляться криззис перепроизводство, так быстр обыли выделены ресурсы на сеть дорог (всех видов, особенно высокоскоростных) и вот, в Китае одна из самых развитых инфраструктур, только подстегнуло рынок. Но окупиться такая инфраструктура могла только в Китае. Но госкапитализм не противоречит социализму. Это элемент. Плановость была признаком социализма во времена СССР, хотя сами Штаты во всю использовали планирование, особенно в космической программе. В США плановость использовали частично, для купирование эффектов капитализма (как кстати и элемнтов социализма). А вот социализм, плановость использует массово, Китай использует его как нормальная коммунистическая страна - везде, где может. Китайцам тогда тоже надо бы поторопиться. США уже четко решили разбираться с Китаем, и второй срок Трампа наверняка станет временем начала активных действий. А куда торопится. При кризисе с США, они схлопнутся и перейдут в социализм, как СССР при Сталине. У Китая выход есть, в отличие от США.",no,yes,no,disagreement
